ticket_id,created_at,subject,description,category,priority,source,affected_service
TKT-0632,2026-08-25 15:50:00,Laptop will not start,"Hi support, Several keys stopped responding after I returned from lunch. I am working remotely today.",Hardware,Medium,Email,Battery
TKT-0485,2026-07-06 05:37:00,Software install request,"Hello, The program says no license is available even though I used it yesterday. I am working remotely today.",Software,Medium,Chat,Project Management Tool
TKT-0478,2026-08-28 01:43:00,License error,Please help. The application closes immediately after I open the project file. The issue continues after a restart.,Software,Medium,Portal,Project Management Tool
TKT-0628,2026-07-09 04:15:00,Docking station issue,Please help. The laptop does not power on even when it is connected to the charger. The issue continues after a restart.,Hardware,High,Portal,Battery
TKT-0464,2026-07-26 05:04:00,Program will not open,"Hello, I need the approved software installed for a new assignment. The issue continues after a restart.",Software,High,Portal,CAD Application
TKT-0667,2026-07-07 15:53:00,Docking station issue,USB devices disconnect whenever I connect through the docking station. Another team member can use the same service.,Hardware,Medium,Portal,Monitor
TKT-0645,2026-08-15 14:08:00,Laptop will not start,Several keys stopped responding after I returned from lunch. I am working remotely today.,Hardware,Low,Phone,Keyboard
TKT-0677,2026-08-10 01:35:00,Battery drains quickly,"IT team, The second monitor is blank and is not shown in display settings. I have a client deadline later today.",Hardware,High,Portal,Battery
TKT-0526,2026-08-12 12:57:00,Program will not open,"Hi support, The latest update repeatedly fails near the end of installation. Please let me know what information you need.",Software,Low,Chat,PDF Editor
TKT-0587,2026-08-24 21:36:00,Software install request,I need the approved software installed for a new assignment. There is no error code displayed.,Software,High,Chat,Finance Application
TKT-0601,2026-06-13 00:50:00,Keyboard stopped working,"Hello, Several keys stopped responding after I returned from lunch. I am working remotely today.",Hardware,Medium,Phone,Laptop
TKT-0589,2026-08-25 15:02:00,Software install request,The application closes immediately after I open the project file. This started this morning.,Software,High,Phone,CAD Application
TKT-0590,2026-06-03 13:53:00,Program will not open,"Hello, The application closes immediately after I open the project file. Please let me know what information you need.",Software,Medium,Phone,PDF Editor
TKT-0656,2026-06-01 06:29:00,Laptop will not start,"IT team, The laptop does not power on even when it is connected to the charger. I am working remotely today.",Hardware,High,Portal,Battery
TKT-0502,2026-07-15 19:53:00,Software install request,"Hello, The application closes immediately after I open the project file. The problem began after the latest update.",Software,Medium,Phone,Finance Application
TKT-0596,2026-07-09 02:01:00,Application crashes,"Hi support, The application closes immediately after I open the project file. I have a client deadline later today.",Software,Medium,Email,PDF Editor
TKT-0626,2026-07-17 16:39:00,Battery drains quickly,"Hi support, The battery now lasts less than one hour after a full charge. Please let me know what information you need.",Hardware,Medium,Phone,Docking Station
TKT-0598,2026-07-17 11:17:00,Update failed,"IT team, I need the approved software installed for a new assignment. I am working remotely today.",Software,Medium,Phone,CAD Application
TKT-0535,2026-06-15 00:16:00,Application crashes,"IT team, I need the approved software installed for a new assignment. Please let me know what information you need.",Software,Medium,Phone,CAD Application
TKT-0610,2026-06-14 21:16:00,Docking station issue,"Hi support, Several keys stopped responding after I returned from lunch. There is no error code displayed.",Hardware,Medium,Chat,Monitor
TKT-0585,2026-06-09 14:41:00,Program will not open,The program displays an error message and will not open. The problem began after the latest update.,Software,Medium,Portal,Finance Application
TKT-0654,2026-08-16 05:02:00,Keyboard stopped working,The battery now lasts less than one hour after a full charge. The issue continues after a restart.,Hardware,High,Chat,Docking Station
TKT-0619,2026-08-13 22:40:00,Monitor not detected,"Hello, Several keys stopped responding after I returned from lunch. The problem began after the latest update.",Hardware,Medium,Phone,Laptop
TKT-0575,2026-07-10 09:28:00,Update failed,"Hello, The program displays an error message and will not open. The issue continues after a restart.",Software,Medium,Chat,PDF Editor
TKT-0560,2026-07-21 00:28:00,Software install request,Please help. I need the approved software installed for a new assignment. I am working remotely today.,Software,Low,Portal,CAD Application
TKT-0609,2026-06-25 05:10:00,Monitor not detected,Several keys stopped responding after I returned from lunch. There is no error code displayed.,Hardware,High,Email,Battery
TKT-0295,2026-08-22 11:34:00,Cannot reach shared drive,Please help. My laptop shows connected to Wi Fi but no internal sites will load. The issue continues after a restart.,Network and VPN,Medium,Chat,Corporate VPN
TKT-0175,2026-06-02 10:39:00,Wi Fi keeps dropping,"Hello, Websites work but I cannot reach the shared project drive from home. I am working remotely today.",Network and VPN,Medium,Portal,Remote Desktop
TKT-0584,2026-08-23 11:48:00,License error,"Hello, The application closes immediately after I open the project file. I have a client deadline later today.",Software,Medium,Chat,Finance Application
TKT-0548,2026-07-15 00:36:00,Program will not open,"IT team, The program says no license is available even though I used it yesterday. I am working remotely today.",Software,High,Email,PDF Editor
TKT-0255,2026-08-01 07:54:00,No network access,Please help. My laptop shows connected to Wi Fi but no internal sites will load. The issue continues after a restart.,Network and VPN,Medium,Portal,Remote Desktop
TKT-0624,2026-08-28 21:18:00,Battery drains quickly,Please help. The battery now lasts less than one hour after a full charge. Another team member can use the same service.,Hardware,High,Phone,Monitor
